recall,precision
9.979633401221995603e-01,1.693743518838575768e-01
9.979633401221995603e-01,1.694329183955740059e-01
9.979633401221995603e-01,1.694915254237288060e-01
9.979633401221995603e-01,1.695501730103806115e-01
9.979633401221995603e-01,1.696088611976462324e-01
9.979633401221995603e-01,1.696675900277008209e-01
9.979633401221995603e-01,1.697263595427779825e-01
9.979633401221995603e-01,1.697851697851697761e-01
9.979633401221995603e-01,1.698440207972270466e-01
9.979633401221995603e-01,1.699029126213592311e-01
9.979633401221995603e-01,1.699618453000346918e-01
9.979633401221995603e-01,1.700208188757807160e-01
9.979633401221995603e-01,1.700798333911836269e-01
9.979633401221995603e-01,1.701388888888888951e-01
9.979633401221995603e-01,1.701979854116012492e-01
9.979633401221995603e-01,1.702571230020847870e-01
9.979633401221995603e-01,1.703163017031630033e-01
9.979633401221995603e-01,1.703755215577190674e-01
9.979633401221995603e-01,1.704347826086956563e-01
9.979633401221995603e-01,1.704940848990953439e-01
9.979633401221995603e-01,1.705534284719805171e-01
9.979633401221995603e-01,1.706128133704735428e-01
9.979633401221995603e-01,1.706722396377568784e-01
9.979633401221995603e-01,1.707317073170731836e-01
9.979633401221995603e-01,1.707912164517253473e-01
9.979633401221995603e-01,1.708507670850767102e-01
9.979633401221995603e-01,1.709103592605510924e-01
9.979633401221995603e-01,1.709699930216329322e-01
9.979633401221995603e-01,1.710296684118673693e-01
9.979633401221995603e-01,1.710893854748603282e-01
9.979633401221995603e-01,1.711491442542787400e-01
9.979633401221995603e-01,1.712089447938504594e-01
9.979633401221995603e-01,1.712687871373645698e-01
9.979633401221995603e-01,1.713286713286713281e-01
9.979633401221995603e-01,1.713885974116824140e-01
9.979633401221995603e-01,1.714485654303708750e-01
9.979633401221995603e-01,1.715085754287714315e-01
9.979633401221995603e-01,1.715686274509803932e-01
9.979633401221995603e-01,1.716287215411558542e-01
9.979633401221995603e-01,1.716888577435178587e-01
9.979633401221995603e-01,1.717490361023484013e-01
9.979633401221995603e-01,1.718092566619915940e-01
9.979633401221995603e-01,1.718695194668537485e-01
9.979633401221995603e-01,1.719298245614035159e-01
9.979633401221995603e-01,1.719901719901719972e-01
9.979633401221995603e-01,1.720505617977527990e-01
9.979633401221995603e-01,1.721109940288022555e-01
9.979633401221995603e-01,1.721714687280393452e-01
9.979633401221995603e-01,1.722319859402460518e-01
9.979633401221995603e-01,1.722925457102672253e-01
9.979633401221995603e-01,1.723531480830109153e-01
9.959266802443992317e-01,1.720619282195636757e-01
9.959266802443992317e-01,1.721224920802534308e-01
9.959266802443992317e-01,1.721830985915492884e-01
9.959266802443992317e-01,1.722437477985206133e-01
9.959266802443992317e-01,1.723044397463002197e-01
9.959266802443992317e-01,1.723651744800845931e-01
9.959266802443992317e-01,1.724259520451340011e-01
9.959266802443992317e-01,1.724867724867724939e-01
9.959266802443992317e-01,1.725476358503881535e-01
9.959266802443992317e-01,1.726085421814331222e-01
9.959266802443992317e-01,1.726694915254237406e-01
9.959266802443992317e-01,1.727304839279406590e-01
9.959266802443992317e-01,1.727915194346289762e-01
9.959266802443992317e-01,1.728525980911982951e-01
9.959266802443992317e-01,1.729137199434229166e-01
9.959266802443992317e-01,1.729748850371418400e-01
9.959266802443992317e-01,1.730360934182590127e-01
9.959266802443992317e-01,1.730973451327433577e-01
9.959266802443992317e-01,1.731586402266288849e-01
9.959266802443992317e-01,1.732199787460148854e-01
