fpr,tpr
5.793973941368077973e-01,9.877800407331975840e-01
5.793973941368077973e-01,9.898167006109979127e-01
7.377850162866449457e-01,9.898167006109979127e-01
7.377850162866449457e-01,9.918533604887983524e-01
8.766286644951140072e-01,9.918533604887983524e-01
8.766286644951140072e-01,9.938900203665987920e-01
9.324104234527686996e-01,9.938900203665987920e-01
9.324104234527686996e-01,9.959266802443992317e-01
9.580618892508143691e-01,9.959266802443992317e-01
9.580618892508143691e-01,9.979633401221995603e-01
9.967426710097719855e-01,9.979633401221995603e-01
9.967426710097719855e-01,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00
